matrix	kernel	threads	sched	part	ms	gflops	gbs	check
lp_wood1p	ell-seq	-	-	-	0.3016	0.47	25.2	PASS
lp_wood1p	csr-omp	1	static	row	0.0325	4.32	26.0	PASS
lp_wood1p	csr-omp	1	dynamic,16	row	0.0329	4.27	25.7	PASS
lp_wood1p	csr-omp	1	dynamic,64	row	0.0327	4.30	25.8	PASS
lp_wood1p	csr-omp	1	dynamic,256	row	0.0327	4.29	25.8	PASS
lp_wood1p	csr-omp	1	guided	row	0.0327	4.30	25.9	PASS
lp_wood1p	csr-omp	1	any	nnz	0.0324	4.33	26.0	PASS
lp_wood1p	csr-omp	2	static	row	0.0226	6.22	37.4	PASS
lp_wood1p	csr-omp	2	dynamic,16	row	0.0195	7.20	43.3	PASS
lp_wood1p	csr-omp	2	dynamic,64	row	0.0212	6.63	39.8	PASS
lp_wood1p	csr-omp	2	dynamic,256	row	0.0336	4.18	25.1	PASS
lp_wood1p	csr-omp	2	guided	row	0.0183	7.65	46.0	PASS
lp_wood1p	csr-omp	2	any	nnz	0.0182	7.73	46.5	PASS
lp_wood1p	csr-omp	4	static	row	0.0168	8.36	50.3	PASS
lp_wood1p	csr-omp	4	dynamic,16	row	0.0120	11.67	70.2	PASS
lp_wood1p	csr-omp	4	dynamic,64	row	0.0158	8.87	53.4	PASS
lp_wood1p	csr-omp	4	dynamic,256	row	0.0338	4.16	25.0	PASS
lp_wood1p	csr-omp	4	guided	row	0.0105	13.41	80.7	PASS
lp_wood1p	csr-omp	4	any	nnz	0.0108	13.00	78.2	PASS
lp_wood1p	csr-omp	8	static	row	0.0118	11.92	71.7	PASS
lp_wood1p	csr-omp	8	dynamic,16	row	0.0085	16.48	99.1	PASS
lp_wood1p	csr-omp	8	dynamic,64	row	0.0156	9.01	54.2	PASS
lp_wood1p	csr-omp	8	dynamic,256	row	0.0347	4.04	24.3	PASS
lp_wood1p	csr-omp	8	guided	row	0.0075	18.69	112.4	PASS
lp_wood1p	csr-omp	8	any	nnz	0.0073	19.29	116.0	PASS
lp_wood1p	csr-omp	16	static	row	0.0090	15.62	94.0	PASS
lp_wood1p	csr-omp	16	dynamic,16	row	0.0078	17.92	107.8	PASS
lp_wood1p	csr-omp	16	dynamic,64	row	0.0169	8.32	50.0	PASS
lp_wood1p	csr-omp	16	dynamic,256	row	0.0349	4.03	24.2	PASS
lp_wood1p	csr-omp	16	guided	row	0.0076	18.56	111.6	PASS
lp_wood1p	csr-omp	16	any	nnz	0.0051	27.48	165.2	PASS
lp_wood1p	ell-omp	1	static	row	0.3039	0.46	25.0	PASS
lp_wood1p	ell-omp	1	dynamic,16	row	0.3044	0.46	24.9	PASS
lp_wood1p	ell-omp	1	dynamic,64	row	0.3041	0.46	25.0	PASS
lp_wood1p	ell-omp	1	dynamic,256	row	0.3021	0.46	25.1	PASS
lp_wood1p	ell-omp	1	guided	row	0.3021	0.46	25.1	PASS
lp_wood1p	ell-omp	1	any	nnz	0.3034	0.46	25.0	PASS
lp_wood1p	ell-omp	2	static	row	0.1530	0.92	49.6	PASS
lp_wood1p	ell-omp	2	dynamic,16	row	0.1614	0.87	47.0	PASS
lp_wood1p	ell-omp	2	dynamic,64	row	0.1602	0.88	47.4	PASS
lp_wood1p	ell-omp	2	dynamic,256	row	0.3031	0.46	25.0	PASS
lp_wood1p	ell-omp	2	guided	row	0.1537	0.91	49.4	PASS
lp_wood1p	ell-omp	2	any	nnz	0.2224	0.63	34.1	PASS
lp_wood1p	ell-omp	4	static	row	0.0783	1.79	96.9	PASS
lp_wood1p	ell-omp	4	dynamic,16	row	0.0823	1.71	92.2	PASS
lp_wood1p	ell-omp	4	dynamic,64	row	0.0824	1.70	92.1	PASS
lp_wood1p	ell-omp	4	dynamic,256	row	0.3035	0.46	25.0	PASS
lp_wood1p	ell-omp	4	guided	row	0.0790	1.78	96.1	PASS
lp_wood1p	ell-omp	4	any	nnz	0.1124	1.25	67.5	PASS
lp_wood1p	ell-omp	8	static	row	0.0416	3.37	182.4	PASS
lp_wood1p	ell-omp	8	dynamic,16	row	0.0434	3.24	175.0	PASS
lp_wood1p	ell-omp	8	dynamic,64	row	0.0814	1.72	93.2	PASS
lp_wood1p	ell-omp	8	dynamic,256	row	0.3039	0.46	25.0	PASS
lp_wood1p	ell-omp	8	guided	row	0.0422	3.33	180.0	PASS
lp_wood1p	ell-omp	8	any	nnz	0.0652	2.15	116.4	PASS
lp_wood1p	ell-omp	16	static	row	0.0250	5.63	304.1	PASS
lp_wood1p	ell-omp	16	dynamic,16	row	0.0255	5.51	298.0	PASS
lp_wood1p	ell-omp	16	dynamic,64	row	0.0833	1.69	91.2	PASS
lp_wood1p	ell-omp	16	dynamic,256	row	0.3054	0.46	24.9	PASS
lp_wood1p	ell-omp	16	guided	row	0.0266	5.28	285.5	PASS
lp_wood1p	ell-omp	16	any	nnz	0.0396	3.54	191.5	PASS
heart1	csr-seq	-	-	-	0.6146	4.52	27.1	base
heart1	ell-seq	-	-	-	1.8703	1.48	25.6	PASS
heart1	csr-omp	1	static	row	0.6134	4.52	27.2	PASS
heart1	csr-omp	1	dynamic,16	row	0.6131	4.53	27.2	PASS
heart1	csr-omp	1	dynamic,64	row	0.6077	4.57	27.4	PASS
heart1	csr-omp	1	dynamic,256	row	0.6081	4.56	27.4	PASS
